Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Date
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.33,23-Mar-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.25,24-Mar-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.2,27-Mar-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.18,28-Mar-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.28,29-Mar-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.42,31-Mar-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.46,03-Apr-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.51,05-Apr-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.55,06-Apr-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.57,10-Apr-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.66,11-Apr-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.7,12-Apr-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.73,13-Apr-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.72,17-Apr-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.72,18-Apr-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.72,19-Apr-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.7,20-Apr-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.67,21-Apr-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.69,24-Apr-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.7,25-Apr-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.69,26-Apr-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.77,27-Apr-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.88,28-Apr-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.91,02-May-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.91,03-May-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.99,04-May-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,9.97,05-May-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.05,08-May-23
150858,Union Multicap Fund - Direct Plan - Growth Option,INF582M01IO7,N/A,10.05,09-May-23
